Id,Username,EmailAddress,DogPreference,Status,CreateTimestamp,Updatetimestamp,LastLoginTimestamp,OwnerRating,AppRating
1,Walker 1,Walker1@email.com,Small,Open,2018-01-01 21:40:20,2018-01-03 14:54:53,,,3.00
2,Walker 2,Walker2@email.com,Medium,Open,2018-03-04 22:44:26,2018-03-04 23:51:23,,,5.00
3,Walker 3,Walker3@email.com,Medium,Open,2018-03-01 01:16:24,2018-03-01 04:04:23,,,4.00
4,Walker 4,Walker4@email.com,Medium,Open,2018-03-16 12:05:12,2018-03-17 03:46:19,,,5.00
5,Walker 5,Walker5@email.com,Medium,Open,2018-03-05 17:07:27,2018-03-05 23:13:10,,,5.00
6,Walker 6,Walker6@email.com,Small,Open,2018-01-11 17:16:48,2018-01-11 17:26:13,,,5.00
7,Walker 7,Walker7@email.com,Small,Open,2018-03-03 09:29:18,2018-03-04 12:38:33,,,3.00
8,Walker 8,Walker8@email.com,Medium,Open,2018-04-05 19:42:27,2018-04-06 10:16:41,,,3.00
9,Walker 9,Walker9@email.com,Small,Open,2018-02-15 17:17:30,2018-02-17 10:17:14,,,5.00
10,Walker 10,Walker10@email.com,Medium,Open,2018-01-17 12:47:33,2018-01-19 00:08:18,,,5.00
11,Walker 11,Walker11@email.com,Small,Open,2018-02-08 22:37:53,2018-02-09 12:30:14,,,4.00
12,Walker 12,Walker12@email.com,Medium,Open,2018-01-17 21:15:07,2018-01-19 17:11:36,,,4.00
13,Walker 13,Walker13@email.com,Medium,Open,2018-02-08 02:55:46,2018-02-08 09:57:00,,,3.00
14,Walker 14,Walker14@email.com,Medium,Open,2018-04-10 13:05:09,2018-04-11 03:32:25,,,3.00
15,Walker 15,Walker15@email.com,Medium,Open,2018-01-15 00:12:41,2018-01-15 16:29:39,,,4.00
16,Walker 16,Walker16@email.com,Medium,Open,2018-04-17 08:34:21,2018-04-17 19:50:46,,,4.00
17,Walker 17,Walker17@email.com,Medium,Open,2018-03-08 08:27:33,2018-03-10 08:07:11,,,4.00
18,Walker 18,Walker18@email.com,Medium,Open,2018-02-25 09:39:31,,,,4.00
19,Walker 19,Walker19@email.com,Medium,Open,2018-02-21 00:07:03,,,,3.00
20,Walker 20,Walker20@email.com,Medium,Open,2018-01-26 10:30:21,,,,5.00
21,Walker 21,Walker21@email.com,Medium,Open,2018-04-19 03:25:46,,,,3.00
22,Walker 22,Walker22@email.com,Medium,Open,2018-01-31 19:38:56,,,,3.00
23,Walker 23,Walker23@email.com,Medium,Open,2018-01-25 19:00:09,,,,4.00
24,Walker 24,Walker24@email.com,Large,Open,2018-02-07 17:33:43,,,,5.00
25,Walker 25,Walker25@email.com,Large,Open,2018-02-09 20:32:39,,,,4.00
26,Walker 26,Walker26@email.com,Small,Open,2018-04-09 14:51:27,,,,5.00
27,Walker 27,Walker27@email.com,Small,Open,2018-03-19 15:02:25,,,,3.00
28,Walker 28,Walker28@email.com,Large,Open,2018-04-08 02:52:09,,,,5.00
29,Walker 29,Walker29@email.com,Medium,Open,2018-02-10 03:15:04,,,,3.00
30,Walker 30,Walker30@email.com,Medium,Open,2018-02-12 01:12:47,,,,3.00
31,Walker 31,Walker31@email.com,Medium,Open,2018-01-25 14:28:27,,,,5.00
32,Walker 32,Walker32@email.com,Medium,Open,2018-03-24 09:11:48,,,,3.00
33,Walker 33,Walker33@email.com,Medium,Open,2018-02-07 14:17:45,,,,3.00
34,Walker 34,Walker34@email.com,Medium,Open,2018-02-18 01:17:39,,,,3.00
35,Walker 35,Walker35@email.com,Medium,Open,2018-02-11 10:00:50,,,,3.00
36,Walker 36,Walker36@email.com,Medium,Open,2018-03-21 14:25:53,,,,4.00
37,Walker 37,Walker37@email.com,Medium,Open,2018-02-04 04:36:26,,,,4.00
38,Walker 38,Walker38@email.com,Small,Open,2018-04-06 09:36:37,,,,3.00
39,Walker 39,Walker39@email.com,Small,Open,2018-02-12 03:54:14,,,,3.00
40,Walker 40,Walker40@email.com,Small,Verified,2018-02-03 14:42:12,,,,4.00
41,Walker 41,Walker41@email.com,Small,Verified,2018-01-20 17:13:16,,,,3.00
42,Walker 42,Walker42@email.com,Small,Verified,2018-03-28 10:42:13,,,,5.00
43,Walker 43,Walker43@email.com,Small,Verified,2018-03-19 05:51:36,,,,3.00
44,Walker 44,Walker44@email.com,Small,Verified,2018-01-31 12:14:07,,,,4.00
45,Walker 45,Walker45@email.com,Small,Closed,2018-02-24 09:03:07,,,,3.00
46,Walker 46,Walker46@email.com,Small,Inactive,2018-04-25 05:24:07,,,,3.00
47,Walker 47,Walker47@email.com,Small,Pending,2018-04-07 10:45:51,,,,3.00
48,Walker 48,Walker48@email.com,Large,Pending,2018-04-03 22:18:24,,,,3.00
49,Walker 49,Walker49@email.com,Large,Pending,2018-03-21 11:10:41,,,,4.00
50,Walker 50,Walker50@email.com,Large,Open,2018-01-30 07:28:27,,,,3.00
