Id,Username,EmailAddress,Status,CreateTimestamp,Updatetimestamp,LastLoginTimestamp,OwnerRating,AppRating
1,User 1,User1@email.com,Open,2019-01-01 17:31:05,2019-04-08 15:33:15,,,4.00
2,User 2,User2@email.com,Open,2019-01-25 02:26:13,2019-04-13 19:37:45,,,5.00
3,User 3,User3@email.com,Open,2019-03-22 19:55:40,2019-02-09 00:22:01,,,4.00
4,User 4,User4@email.com,Open,2019-04-08 15:33:15,2019-01-20 20:31:01,,,5.00
5,User 5,User5@email.com,Open,2019-04-13 19:37:45,2019-03-08 22:11:50,,,5.00
6,User 6,User6@email.com,Open,2019-02-09 00:22:01,2019-01-29 06:16:30,,,4.00
7,User 7,User7@email.com,Open,2019-01-20 20:31:01,2019-02-01 20:12:28,,,5.00
8,User 8,User8@email.com,Open,2019-03-08 22:11:50,2019-01-07 12:46:21,,,3.00
9,User 9,User9@email.com,Open,2019-01-29 06:16:30,2019-03-14 21:47:55,,,4.00
10,User 10,User10@email.com,Open,2019-02-01 20:12:28,2019-03-06 08:24:53,,,5.00
11,User 11,User11@email.com,Open,2019-01-07 12:46:21,2019-02-14 13:23:06,,,3.00
12,User 12,User12@email.com,Open,2019-03-14 21:47:55,2019-03-23 19:04:45,,,3.00
13,User 13,User13@email.com,Open,2019-03-06 08:24:53,2019-03-17 12:34:37,,,3.00
14,User 14,User14@email.com,Open,2019-02-14 13:23:06,2019-03-02 03:17:07,,,4.00
15,User 15,User15@email.com,Open,2019-03-23 19:04:45,2019-03-15 10:24:14,,,3.00
16,User 16,User16@email.com,Open,2019-03-17 12:34:37,2019-01-23 16:14:07,,,3.00
17,User 17,User17@email.com,Open,2019-03-02 03:17:07,2019-02-02 17:08:45,,,3.00
18,User 18,User18@email.com,Open,2019-03-15 10:24:14,,,,4.00
19,User 19,User19@email.com,Open,2019-01-23 16:14:07,,,,4.00
20,User 20,User20@email.com,Open,2019-02-02 17:08:45,,,,4.00
21,User 21,User21@email.com,Open,2019-01-17 12:32:16,,,,4.00
22,User 22,User22@email.com,Open,2019-03-12 04:27:29,,,,5.00
23,User 23,User23@email.com,Open,2019-03-07 23:40:30,,,,3.00
24,User 24,User24@email.com,Open,2019-02-15 01:14:19,,,,5.00
25,User 25,User25@email.com,Open,2019-03-28 21:56:31,,,,3.00
26,User 26,User26@email.com,Open,2019-01-25 19:51:07,,,,5.00
27,User 27,User27@email.com,Open,2019-02-02 16:43:30,,,,3.00
28,User 28,User28@email.com,Open,2019-02-13 08:54:27,,,,3.00
29,User 29,User29@email.com,Open,2019-02-13 14:48:39,,,,4.00
30,User 30,User30@email.com,Open,2019-02-01 15:22:28,,,,3.00
31,User 31,User31@email.com,Open,2019-02-24 10:57:20,,,,4.00
32,User 32,User32@email.com,Open,2019-01-27 15:18:25,,,,4.00
33,User 33,User33@email.com,Open,2019-03-10 01:25:11,,,,4.00
34,User 34,User34@email.com,Open,2019-03-19 07:46:01,,,,5.00
35,User 35,User35@email.com,Open,2019-01-18 21:49:27,,,,3.00
36,User 36,User36@email.com,Open,2019-03-27 13:17:03,,,,4.00
37,User 37,User37@email.com,Open,2019-03-17 01:00:22,,,,5.00
38,User 38,User38@email.com,Open,2019-03-11 22:12:10,,,,4.00
39,User 39,User39@email.com,Open,2019-04-12 22:11:58,,,,3.00
40,User 40,User40@email.com,Verified,2019-02-21 10:05:36,,,,3.00
41,User 41,User41@email.com,Verified,2019-02-15 06:54:54,,,,3.00
42,User 42,User42@email.com,Verified,2019-01-28 06:44:27,,,,5.00
43,User 43,User43@email.com,Verified,2019-02-08 10:52:29,,,,4.00
44,User 44,User44@email.com,Verified,2019-03-18 05:03:02,,,,4.00
45,User 45,User45@email.com,Closed,2019-05-05 03:17:57,,,,3.00
46,User 46,User46@email.com,Inactive,2019-04-06 13:38:37,,,,5.00
47,User 47,User47@email.com,Pending,2019-04-10 21:10:45,,,,3.00
48,User 48,User48@email.com,Pending,2019-04-06 13:28:21,,,,3.00
49,User 49,User49@email.com,Pending,2019-01-28 01:41:13,,,,5.00
50,User 50,User50@email.com,Open,2019-02-24 00:33:40,,,,4.00
51,User 51,User51@email.com,Open,2019-02-22 11:47:50,,,,3.00
52,User 52,User52@email.com,Open,2019-02-16 05:16:59,,,,5.00
53,User 53,User53@email.com,Open,2019-05-02 23:04:30,,,,4.00
54,User 54,User54@email.com,Open,2019-03-14 12:40:10,,,,5.00
55,User 55,User55@email.com,Open,2019-04-23 17:18:39,,,,5.00
56,User 56,User56@email.com,Open,2019-03-27 23:03:01,,,,4.00
57,User 57,User57@email.com,Open,2019-05-06 08:57:58,,,,5.00
58,User 58,User58@email.com,Open,2019-04-16 21:54:28,,,,5.00
59,User 59,User59@email.com,Open,2019-04-29 17:20:32,,,,4.00
60,User 60,User60@email.com,Open,2019-03-24 04:43:11,,,,3.00
61,User 61,User61@email.com,Open,2019-03-27 05:32:04,,,,5.00
62,User 62,User62@email.com,Open,2019-03-08 12:25:58,,,,4.00
63,User 63,User63@email.com,Open,2019-03-31 21:19:21,,,,3.00
64,User 64,User64@email.com,Open,2019-02-04 13:14:09,,,,3.00
65,User 65,User65@email.com,Open,2019-03-02 20:18:46,,,,5.00
66,User 66,User66@email.com,Open,2019-02-22 06:20:20,,,,3.00
67,User 67,User67@email.com,Open,2019-02-23 03:28:56,,,,3.00
68,User 68,User68@email.com,Open,2019-03-08 16:39:03,,,,5.00
69,User 69,User69@email.com,Open,2019-02-24 18:30:09,,,,3.00
70,User 70,User70@email.com,Open,2019-02-25 22:58:48,,,,4.00
71,User 71,User71@email.com,Open,2019-02-25 09:14:18,,,,3.00
72,User 72,User72@email.com,Open,2019-04-16 18:29:21,,,,4.00
73,User 73,User73@email.com,Open,2019-03-30 07:19:07,,,,5.00
74,User 74,User74@email.com,Open,2019-03-16 11:05:12,,,,5.00
75,User 75,User75@email.com,Open,2019-03-05 06:18:03,,,,5.00
76,User 76,User76@email.com,Open,2019-02-10 15:29:13,,,,5.00
77,User 77,User77@email.com,Open,2019-02-24 00:42:20,,,,3.00
78,User 78,User78@email.com,Open,2019-05-19 08:55:42,,,,3.00
